OBJECTID,ZIP,NAME,ZIPTYPE,STATE,STATEFIPS,COUNTYFIPS,COUNTYNAME,S3DZIP,LAT,LON,EMPTYCOL,TOTRESCNT,MFDU,SFDU,BOXCNT,BIZCNT,RELVER,COLOR,GlobalID,SHAPESTArea,SHAPESTLength,population
95,15225,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.50688702,-80.11220909, ,603,0,578,25,150,1.9.3,16,{73BB6FA5-B8CB-40D8-A292-C8AC931AEFC8},65384475.53,58702.99922,870
100,15232,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.45294179,-79.93224793, ,6796,4113,2604,79,441,1.9.3,5,{14540988-6754-4A8C-A748-6CB303426CC4},23034380.86,38951.13694,6760
107,15239,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.48743511,-79.73946234, ,8522,164,8256,102,532,1.9.3,6,{F85E598B-BC93-40B3-9C95-192AC8A5F4EC},477272204.9,143224.8491,20120
111,15261,PITTSBURGH,UNIQUE,PA,42,42003,ALLEGHENY,152,40.44655133,-79.95955977, ,0,0,0,0,0,1.9.3,5,{29ADE7CC-CBDF-49B0-B6C1-EB1045BE6051},305356.9332,2912.304475,0
112,15275,PITTSBURGH,UNIQUE,PA,42,42003,ALLEGHENY,152,40.45235707,-80.18180181, ,0,0,0,0,181,1.9.3,13,{6879EEB7-CBC2-4D52-B5D9-A5D5A8CEB5BF},38113227.32,55839.29324,13
113,15290,PITTSBURGH,UNIQUE,PA,42,42003,ALLEGHENY,152,40.45866861,-80.02204336, ,0,0,0,0,1,1.9.3,10,{930CCE98-4F12-478B-A825-6D529F798805},943404.9542,4925.956129,0
154,15006,BAIRDFORD,PO BOX,PA,42,42003,ALLEGHENY,150,40.63632608,-79.9466552, ,,,,,,1.9.3,12,{E34895F1-D822-4D51-ADD7-5A6EFD3CA15D},3706481.424,16964.49995,359
183,15051,INDIANOLA,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.57959175,-79.86609649, ,243,0,201,42,45,1.9.3,10,{1A3867AA-9625-453F-83EA-73EBDFCB5927},12060159.05,18828.51823,360
216,15223,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.50611141,-79.95117001, ,3532,232,3272,28,283,1.9.3,12,{BF739C67-EFAE-4BAA-8CC3-BFC29FAEAE55},57907627.57,57572.68274,6180
237,15227,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.381338,-79.969707, ,13011,1522,11412,77,622,1.9.3,16,{E0E4D041-A766-4D78-8127-DFFBD17309A8},167853669.2,127309.3583,26790
255,16229,FREEPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.44291632,-79.98815211, ,,,,,,1.9.3,10,{9854CE82-59CB-4E16-A63F-D64920BD5EA6},2958958.863,9228.626161,4790
256,15282,PITTSBURGH,UNIQUE,PA,42,42003,ALLEGHENY,152,40.551918,-79.939899, ,,,,,,1.9.3,11,{90C0B91D-1527-4729-AFEE-C388E634A907},268656.1001,2301.323812,16
257,15276,PITTSBURGH,UNIQUE,PA,42,42003,ALLEGHENY,151,40.25059259,-79.86374335, ,,,,,,1.9.3,5,{9374F636-799D-4638-94BE-24CF19D4CC1A},3569755.207,9468.943497,0
258,15083,SUTERSVILLE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.36062103,-79.90927201, ,,,,,,1.9.3,11,{BB0BB666-A223-45A9-8674-A950C0F5983C},7938963.442,19272.49163,900
268,15088,WEST ELIZABETH,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.45436768,-80.05936821, ,,,,,,1.9.3,10,{3F6DAE87-C96B-403D-B589-CB7F3696195C},8432856.041,23978.23827,631
277,15116,GLENSHAW,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.40180177,-80.03433406, ,6093,86,5931,76,374,1.9.3,5,{993779CB-C9F6-4CDC-AA88-A7C006E9E836},217504951.8,126418.8107,13950
